----------------------------------------
| act/                      |          |
|    executor_switches      | 205         |
|    idle_share             | 0.774       |
|    job_share              | 0.117       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 6.75        |
|    outage                 | 14.8        |
|    skipped                | 31          |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.669       |
|    critical_done_on_time  | 168         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.504       |
|    episodes               | 32          |
|    jobs_completed         | 809         |
|    jobs_due_missed        | 399         |
|    min_soc_pct            | 45.5        |
|    revenue_usd            | 1.98e+04    |
|    work_lost_steps        | 151         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.22e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 8           |
|    time_elapsed           | 846         |
|    total_timesteps        | 9216        |
| train/                    |             |
|    approx_kl              | 0.007863051 |
|    clip_fraction          | 0.103       |
|    clip_range             | 0.2         |
|    entropy_loss           | -32.1       |
|    explained_variance     | 0.0288      |
|    learning_rate          | 3e-05       |
|    loss                   | 2.46e+03    |
|    n_updates              | 28          |
|    policy_gradient_loss   | 0.00352     |
|    value_loss             | 8.36e+03    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.113       |
|    conflicts_repaired     | 361         |
|    downlink_slots_used    | 88.8        |
|    executor_switches      | 207         |
|    idle_share             | 0.769       |
|    job_share              | 0.118       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 7.5         |
|    outage                 | 15.5        |
|    skipped                | 29          |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.677       |
|    critical_done_on_time  | 177         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.529       |
|    episodes               | 36          |
|    jobs_completed         | 818         |
|    jobs_due_missed        | 390         |
|    min_soc_pct            | 46.4        |
|    revenue_usd            | 2.01e+04    |
|    work_lost_steps        | 148         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.22e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 9           |
|    time_elapsed           | 967         |
|    total_timesteps        | 10368       |
| train/                    |             |
|    approx_kl              | 0.012795856 |
|    clip_fraction          | 0.176       |
|    clip_range             | 0.2         |
|    entropy_loss           | -32.9       |
|    explained_variance     | 0.0341      |
|    learning_rate          | 3e-05       |
|    loss                   | 2.16e+03    |
|    n_updates              | 32          |
|    policy_gradient_loss   | 0.00081     |
|    value_loss             | 9.56e+03    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.131       |
|    conflicts_repaired     | 414         |
|    downlink_slots_used    | 97.8        |
|    executor_switches      | 223         |
|    idle_share             | 0.748       |
|    job_share              | 0.121       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 10.8        |
|    outage                 | 15.8        |
|    skipped                | 38.5        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.702       |
|    critical_done_on_time  | 186         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.558       |
|    episodes               | 40          |
|    jobs_completed         | 848         |
|    jobs_due_missed        | 360         |
|    min_soc_pct            | 45.9        |
|    revenue_usd            | 2.08e+04    |
|    work_lost_steps        | 129         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.25e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 10          |
|    time_elapsed           | 1088        |
|    total_timesteps        | 11520       |
| train/                    |             |
|    approx_kl              | 0.019249318 |
|    clip_fraction          | 0.23        |
|    clip_range             | 0.2         |
|    entropy_loss           | -32.5       |
|    explained_variance     | 0.0432      |
|    learning_rate          | 3e-05       |
|    loss                   | 4.98e+03    |
|    n_updates              | 36          |
|    policy_gradient_loss   | 0.00599     |
|    value_loss             | 1.11e+04    |
-------------------------------------------
